route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
STR-BSN-3233,477,4033931,0,Busselton,96735
STR-BSN-3233,493,4033932,0,Busselton,96735
STR-BSN-3233,493,4033933,0,Busselton,96735
STR-BSN-3233,493,4033934,0,Busselton,96735
STR-BSN-3233,493,4033935,0,Busselton,96735
STR-BSN-3233,493,4033936,0,Busselton,96735
STR-BSN-3233,474,4033937,0,Busselton,96735
STR-BSN-3233,134,4033938,0,Busselton,96735
STR-BSN-3233,134,4033939,0,Busselton,96735
STR-BSN-3233,134,4033940,0,Busselton,96735
STR-BSN-3233,134,4033941,0,Busselton,96735
STR-BSN-3233,134,4033942,0,Busselton,96735
STR-BSN-3233,134,4033943,0,Busselton,96735
STR-BSN-3233,473,4033944,0,Busselton,96736
STR-BSN-3234,134,4033945,1,Busselton,96737
STR-BSN-3234,134,4033946,1,Busselton,96737
STR-BSN-3234,134,4033947,1,Busselton,96737
STR-BSN-3234,493,4033948,1,Busselton,96737
STR-BSN-3234,477,4033949,1,Busselton,96737
STR-BSN-3234,477,4033950,1,Busselton,96737
STR-BSN-3234,477,4033951,1,Busselton,96737
STR-BSN-3234,493,4033952,1,Busselton,96737
STR-BSN-3234,493,4033953,1,Busselton,96737
TRA-TRA-4126,712,4151609,1,Bunbury Passenger,97626
TRA-TRA-4178,781,4431107,1,Bunbury Passenger,99416
TRA-TRA-4178,782,4431106,1,Bunbury Passenger,99417
TRA-TRA-4178,777,4413693,1,East Perth Stn - Transwa,99420
TRA-TRA-4178,778,4413699,1,East Perth Stn - Transwa,99421
TRA-TRA-4126,776,4412876,1,Collie,100068
STR-BSN-3232,473,4422544,1,Dunsborough,100371
STR-BSN-3232,493,4422545,1,Dunsborough,100371
STR-BSN-3232,474,4422546,1,Dunsborough,100371
STR-BSN-3232,477,4422547,1,Dunsborough,100371
STR-BSN-3232,477,4422548,1,Dunsborough,100371
STR-BSN-3232,134,4422549,1,Dunsborough,100371
STR-BSN-3232,134,4422550,1,Dunsborough,100371
MBC-MPJ-3152,182,4521956,1,Waroona Hotel,101492
MBC-MPJ-3152,178,4521957,1,Waroona Hotel,101492
MBC-MPJ-3152,178,4521958,0,Halls Head,101493
MBC-MPJ-3152,182,4521959,0,Halls Head,101493
EBS-EBS-4115,493,4594465,0,Esperance Bus Stn,102807
EBS-EBS-4115,493,4594466,0,Esperance Bus Stn,102807
EBS-EBS-4115,493,4594467,0,Esperance Bus Stn,102807
EBS-EBS-4116,493,4594471,0,Esperance Bus Stn,102809
EBS-EBS-4116,493,4594472,0,Esperance Bus Stn,102809
EBS-EBS-4116,493,4594473,0,Esperance Bus Stn,102809
EBS-EBS-4117,493,4594476,0,Esperance Bus Stn,102811
EBS-EBS-4117,493,4594477,0,Esperance Bus Stn,102811
EBS-EBS-4117,493,4594478,0,Esperance Bus Stn,102811
STR-BSN-3232,473,4607632,1,Dunsborough,103016
PTR-GDN-3897,473,4607770,1,Waggrakine,103017
WES-RAI-1827,357,4611255,1,Clarkson Stn,103030
WES-RAI-1827,357,4611256,1,Clarkson Stn,103030
WES-RAI-1827,357,4611257,1,Clarkson Stn,103030
WES-RAI-1827,357,4611258,1,Clarkson Stn,103030
WES-RAI-1827,357,4611259,1,Clarkson Stn,103030
WES-RAI-1827,357,4611260,1,Clarkson Stn,103030
WES-RAI-1827,357,4611261,1,Clarkson Stn,103030
WES-RAI-1827,357,4611262,1,Clarkson Stn,103030
WES-RAI-1827,357,4611263,1,Whitfords Stn,103031
WES-RAI-1827,357,4611264,1,Whitfords Stn,103031
WES-RAI-1827,357,4611265,1,Whitfords Stn,103031
WES-RAI-1827,357,4611266,1,Whitfords Stn,103031
WES-RAI-1827,357,4611267,1,Whitfords Stn,103031
WES-RAI-1827,357,4611268,1,Whitfords Stn,103031
WES-RAI-1827,357,4611269,1,Whitfords Stn,103031
WES-RAI-1827,357,4611270,1,Whitfords Stn,103031
WES-RAI-1827,357,4611271,1,Whitfords Stn,103031
WES-RAI-1827,357,4611272,1,Whitfords Stn,103031
WES-RAI-1827,357,4611273,1,Whitfords Stn,103031
WES-RAI-1827,357,4611274,1,Whitfords Stn,103031
WES-RAI-1827,357,4611275,1,Whitfords Stn,103031
